run_dir,collocation_time,computer,derivmatch_time,err-file,init,model,n_params,ncol,out-file,param,pretraining,problem,profile,seed,shapovalova_time,shoot-iters,shooting_time,sigma,timestamp,training,training_time,cfg.amr_rounds,cfg.depth,cfg.dm_iters,cfg.hidden,cfg.lm_iters,cfg.signed_loss,cfg.linsolve,use_collocation,use_derivmatch,shapovalova,shooting
run_pHXxu9ER,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_189.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_189.out,none,none,rober,fast,15,99.391679158,1000,0.0,0.0,2026-08-11T02:17:48.864,shapovalova,99.391679158,1,2,10000,12,150,False,,,,,
run_phYUe4o8,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_210.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_210.out,none,none,vanderpol,fast,11,0.0,1000,2802.202400379,0.0,2026-08-11T03:09:16.263,shooting,2802.202400379,1,2,10000,12,150,True,,,,,
run_plAVbXsz,27.38544681,orcd,29.304563659,/home/txenakis/projects/BVPsolver/logs/array_20140853_241.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_241.out,none,derivmatch,vanderpol,fast,12,0.0,1000,0.0,0.0,2026-08-11T02:49:07.918,collocation,56.690010469,1,2,10000,12,150,True,,,,,
run_pmXRUZJ7,33.165979473,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_270.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_270.out,none,none,vanderpol,fast,11,0.0,1000,0.0,0.0,2026-08-11T03:01:56.774,collocation,33.165979473,1,2,10000,12,150,True,,,,,
run_pngNaCch,37.561658266,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_238.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_238.out,none,none,vanderpol,fast,14,0.0,1000,0.0,0.0,2026-08-11T02:47:21.691,collocation,37.561658266,1,2,10000,12,150,True,,,,,
run_puUxHMQN,29.721198433,orcd,38.715232491,/home/txenakis/projects/BVPsolver/logs/array_20140853_311.err,default,GELU-scaled,177,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_311.out,none,derivmatch,vanderpol,fast,12,0.0,1000,0.0,0.0,2026-08-11T03:27:33.949,collocation,68.436430924,1,2,10000,12,150,True,,,,,
run_q29NmYtE,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_248.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_248.out,none,none,vanderpol,fast,14,0.0,1000,461.358292637,0.0,2026-08-11T02:57:44.889,shooting,461.358292637,1,2,10000,12,150,True,,,,,
run_q3Jgd082,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_105.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_105.out,none,none,rober,fast,11,0.0,1000,645.159448367,0.0,2026-08-11T01:53:12.555,shooting,645.159448367,1,2,10000,12,150,False,,,,,
run_q4szpyI1,0.0,orcd,27.127874995,/home/txenakis/projects/BVPsolver/logs/array_20140853_184.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_184.out,none,derivmatch,rober,fast,15,0.0,1000,519.702439872,0.0,2026-08-11T02:22:27.752,shooting,546.830314867,1,2,10000,12,150,False,,,,,
run_qH9OUloS,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_107.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_107.out,none,none,rober,fast,13,0.0,1000,385.095545533,0.0,2026-08-11T01:48:46.566,shooting,385.095545533,1,2,10000,12,150,False,,,,,
