run_dir,stage,point_index,stiffness,sensitivity_norm,trajectory_sensitivity_norm
run_00CGPQte,shooting,66,387.33577704284744,5384.935906518644,NaN
run_00CGPQte,shooting,67,309.6645793450578,4626.57702027939,NaN
run_00CGPQte,shooting,68,34.673820189599425,1115.1847448251972,NaN
run_00CGPQte,shooting,69,24.536376217204477,1110.6311600850124,NaN
run_00CGPQte,shooting,70,20.129451558487126,1109.9915006285696,NaN
run_00CGPQte,shooting,71,18.586873447779162,1109.9262705473664,NaN
run_00CGPQte,shooting,72,18.1052699455619,1109.908074267747,NaN
run_00CGPQte,shooting,73,17.98729270928378,1109.8844039202493,NaN
run_00CGPQte,shooting,74,17.96417195884171,1109.8513074954828,NaN
run_00CGPQte,shooting,75,17.960298716126335,1109.8075056851187,NaN
run_00CGPQte,shooting,76,17.95805078473759,1109.7424361904057,NaN
run_00CGPQte,shooting,77,17.954572628847046,1109.6345938616107,NaN
run_00CGPQte,shooting,78,17.94915170114793,1109.466396570939,NaN
run_00CGPQte,shooting,79,17.940125751257117,1109.186135483788,NaN
run_00CGPQte,shooting,80,17.923548926782747,1108.6713803930777,NaN
run_00CGPQte,shooting,81,17.885655404544476,1107.4942911889145,NaN
run_00CGPQte,shooting,82,17.765915533325316,1103.7710320630238,NaN
run_00CGPQte,shooting,83,17.40945838583488,1092.6502440040676,NaN
run_00CGPQte,shooting,84,17.00062828488538,1079.8177255940411,NaN
run_00CGPQte,shooting,85,16.429119476924033,1061.7116382884305,NaN
run_00CGPQte,shooting,86,15.543072389700244,1033.155556788793,NaN
run_00CGPQte,shooting,87,14.484032731028616,998.0041676736824,NaN
run_00CGPQte,shooting,88,13.30716315287606,957.1605411261291,NaN
run_00CGPQte,shooting,89,12.092081357657918,912.2593395430185,NaN
run_00CGPQte,shooting,90,10.853511020159905,862.4717669470266,NaN
run_00CGPQte,shooting,91,9.616572188619433,806.9913222140801,NaN
run_00CGPQte,shooting,92,8.62240320178756,756.6177803986681,NaN
run_00CGPQte,shooting,93,8.116893057750618,728.5341730064802,NaN
run_00CGPQte,shooting,94,7.335776523106385,681.6331673857786,NaN
run_00CGPQte,shooting,95,6.755174781215463,644.714893513776,NaN
run_00CGPQte,shooting,96,6.416036152516087,623.1496475366333,NaN
run_00CGPQte,shooting,97,6.1388849911565675,606.08937619932,NaN
run_00CGPQte,shooting,98,5.7362864274150756,583.0806836065027,NaN
run_00CGPQte,shooting,99,5.484224161354565,570.1125797058875,NaN
run_00CGPQte,shooting,100,5.040360466569087,550.3132646534355,NaN
run_00CGPQte,shooting,101,4.569303884834413,533.2594715070528,NaN
run_00CGPQte,shooting,102,4.244481153756695,523.4638042161663,NaN
run_00CGPQte,shooting,103,3.8572989355240894,513.431387583151,NaN
run_00CGPQte,shooting,104,3.456054891493916,504.44340453954055,NaN
run_00CGPQte,shooting,105,3.0652219943950487,496.63087496944587,NaN
run_00CGPQte,shooting,106,2.862276632481655,489.9247575545171,NaN
run_00CGPQte,shooting,107,3.0953639260577113,484.4699216820409,NaN
run_00CGPQte,shooting,108,3.503915568809724,482.23006880496666,NaN
run_00CGPQte,shooting,109,11.322204060751698,491.3349117556334,NaN
run_00CGPQte,shooting,110,79.06804236104938,747.4502141526186,NaN
run_00CGPQte,shooting,111,40.300042287379405,740.9108193176713,NaN
run_00CGPQte,shooting,112,14.828254388410917,710.6792824862907,NaN
run_00CGPQte,shooting,113,75.15957140337649,1301.7911340919281,NaN
run_00CGPQte,shooting,114,21.8362388509774,2827.027596834605,NaN
run_00CGPQte,shooting,115,53.953264372465085,3656.2844829658125,NaN
run_00CGPQte,shooting,116,84.72558306268468,4885.655514554363,NaN
run_00CGPQte,shooting,117,58.272456378094084,5404.957590871702,NaN
run_00CGPQte,shooting,118,75.95666367890746,7728.138517183877,NaN
run_00CGPQte,shooting,119,55.86024375137543,12402.2631642936,NaN
run_00CGPQte,shooting,120,73.22685775876616,5770.4711833480205,NaN
run_00CGPQte,shooting,121,91.48720915540751,96084.51811011204,NaN
run_00CGPQte,shooting,122,130.25965285249836,271578.024452396,NaN
run_00CGPQte,shooting,123,126.59065195190351,341033.84289320186,NaN
