t,lambda1_true,lambda2_true,lambda1_learned,lambda2_learned,is_train
80.60391058558535,10.43522068569213,1.9647418882389562,13.288816645875091,1.9278031772148871,1.0
80.72706563755867,8.551817992032566,3.029820022956546,11.334846666790066,2.9319993037954184,1.0
80.82719626856229,7.197275875847079,4.73526169900637,10.137521055964843,4.508996699080768,1.0
80.91194301192803,7.456572356899549,6.429567840757478,10.003791313393348,6.973810138096297,1.0
80.96961374131999,10.643077070114874,6.302707188894155,10.995207814560624,9.741426783388714,1.0
81.01790329127147,14.967339990424133,6.649962768739147,13.706251310928801,12.4609836468579,1.0
81.04975153031909,19.4125298483908,7.292186008886079,18.371166348560887,12.8705525020114,1.0
81.08271348532469,26.73744868608567,8.63813618587352,26.050477369531155,11.710240786485496,1.0
81.09923556522999,32.377785046537795,9.79385263667665,31.606188186910984,10.143397458584786,1.0
81.1186232064052,42.27288141984548,11.920526909731525,42.39521387288328,6.577375839101961,1.0
81.12895774140017,50.02505700940485,13.608346999000894,51.85933984059919,3.127134106103732,1.0
81.1400405260906,61.62631144871341,16.08388029444786,65.56770264218338,3.3577205856085826,1.0
81.15112331078103,78.65668907502648,19.407372213035323,85.18134888945906,15.821639294437787,1.0
81.15849708708973,94.03473639363011,21.682953455477943,106.22650220232079,29.13841016167909,1.0
81.16587086339842,110.13920715289345,21.19112851818366,120.31899657858574,48.56646400436165,1.0
81.17171020208536,106.50419119870695,6.86205194835415,124.7187015904143,67.64699856549014,1.0
81.17676319174942,82.52283798141981,82.52283798141981,46.71304475187107,46.71304475187107,1.0
81.18076443763599,145.0181104802478,145.0181104802478,128.59526404041804,128.59526404041804,1.0
81.18476568352256,179.93206846669537,179.93206846669537,132.84758657382622,132.84758657382622,1.0
81.18876692940913,154.83242055035802,154.83242055035802,122.04217741572121,122.04217741572121,1.0
81.19327737933826,227.2740320200555,40.31828074750379,228.98201184789804,19.299509030464293,1.0
81.19692976311289,276.7370108562895,12.244406613874048,273.9302542882981,5.400010397050096,1.0
81.19954826635292,289.7313695336111,5.477907426430875,289.6173421130468,2.3420406020769633,1.0
81.20250978302501,296.10939003296494,2.229922358714134,293.12391263382176,0.7534468205818712,1.0
81.2054712996971,298.7233399011766,0.9099313261641555,294.09569146181747,0.030275546482130267,1.0
81.2084462043349,299.79523719875226,0.3685069827325833,307.0107430123156,0.17639028454306072,1.0
81.2115525695909,300.2405116215883,0.14147770757404032,309.3332101406547,0.1264431036228757,1.0
81.2148893489003,300.41769493675304,0.04840066488998218,269.53096630814355,0.05291890632054219,1.0
81.21859656589359,300.48026059176715,0.012172300982854267,236.68100668845423,0.02189380853911871,1.0
81.22273882539906,300.4944327028677,0.0004347681498302336,223.370222631337,0.012231334500427238,1.0
81.22766944866211,300.4891768562996,0.004378308539742193,219.07082413412826,0.009416696817794445,1.0
81.23351761341115,300.4755124178846,0.005340574030810785,218.00826697309762,0.008746718781537766,1.0
81.24110314575167,300.45565505366017,0.005522131265820462,217.79915312829456,0.008620163527382374,1.0
81.25101200795052,300.4292826250988,0.005543026299619669,217.76345922772416,0.008604278510858876,1.0
81.26571361606676,300.3900957502768,0.005545284662048289,217.74206778180425,0.008600544141927458,1.0
81.29007544901417,300.32515288558653,0.005546997642341012,217.7088465006546,0.008595760629447113,1.0
81.32806531738333,300.2238738324922,0.005549642067933291,217.65706443229462,0.008588332090937456,1.0
81.39134945410379,300.0551424395831,0.005554003919428396,217.57083573887263,0.008576020829991648,1.0
81.50752810294036,299.7453192809085,0.005562041906614468,217.4124469329769,0.008553507714225361,1.0
81.77292467249359,299.0372636349732,0.005580493946411025,217.05026161429385,0.008502548478872995,1.0
82.60993679476425,296.8014227621392,0.005639505361671127,215.90466871770343,0.008346146331291493,1.0
85.0875880142856,290.1578803909784,0.005821794370604039,212.48334138802977,0.007922261450573842,1.0
87.904736139271,282.55626054186894,0.006044038337222446,208.5362152675979,0.007513510999785922,1.0
91.80270390074611,271.9487309578552,0.006381297589541646,202.9689378442791,0.0070827996554498895,1.0
97.76538360133313,255.50131503169706,0.006977342927996233,194.19510165716082,0.00674957183784386,1.0
104.78915067218412,235.73359899513207,0.007840838142840312,183.41214579539778,0.006920341094371452,1.0
112.50264099271875,213.43540422842278,0.009075190439148173,170.9206416442911,0.007932393250882797,1.0
120.41252874370879,189.76502006876527,0.010822973294665417,157.25702286449638,0.010095419193589805,1.0
128.46431201903178,164.56581625067085,0.013460616938061776,142.2201462981449,0.013916175346025739,1.0
136.51609529435476,137.79974052194882,0.017787610974664858,125.63015723845112,0.020342625704458328,1.0
142.95671796149514,114.70819010469036,0.02391413498934014,110.70688250864487,0.028959277012489792,1.0
146.17702929506535,102.33586831598993,0.028863694361632497,102.41790416698083,0.03545867124429947,1.0
150.9466849875982,82.47005557712718,0.04151997553171327,88.52071984291821,0.05066178611392047,1.0
154.15102666846118,67.52534190281298,0.0586474005503419,77.36586377232123,0.06911981543947832,1.0
155.79244037521676,59.07219779507529,0.07420145146706858,70.64525467010785,0.08458697837288298,1.0
156.9681293248481,52.525736394804944,0.09146500233698873,65.1448550244552,0.10082663485155763,1.0
158.37894260223067,43.88682911011619,0.12650128311264552,57.323624692266385,0.13193022936718535,1.0
159.08434924092194,39.109430131858815,0.15613223623299177,52.61534895839149,0.15707272966240282,1.0
160.0348504829648,31.931871433024533,0.22706589556142376,44.782309217408056,0.21523556058666315,1.0
160.72999096225897,25.84650766833054,0.3372348995192418,37.096536060544935,0.3040640216609347,1.0
161.07756120190606,22.38191344099331,0.44252511220425106,32.106027577814956,0.38995592547436075,1.0
161.39502750950905,18.84778694114357,0.6138299142780532,26.399912589007428,0.5348287035277224,1.0
161.64748490445805,15.687067471964475,0.8737271277546057,20.671262776816466,0.7704032472749347,1.0
161.8443772841682,12.941838850691255,1.272308348906801,15.204447977917845,1.1727051569315883,1.0
162.0000293373701,10.593060800836456,1.904612829054157,10.316022412368952,1.905829373117907,1.0
162.12515401155966,8.67417417633479,2.9322526731253893,6.520841536457904,3.2332045947671215,1.0
162.22678350503904,7.277512211869856,4.58130914525701,5.265376405598045,4.124454807383881,1.0
162.31217170122002,7.198401936682012,6.466028869716592,8.180072884543861,2.663111515149435,1.0
162.37370849179888,10.487848285388882,6.2986943661879655,12.1910914387159,1.8422438277470938,1.0
162.4205078232501,14.549926458182565,6.601247987631817,17.186236599782557,1.3878451782896803,1.0
162.455714493365,19.349476234995482,7.281822399825142,22.27475395697199,1.0777208597419232,1.0
162.48500082197162,25.604758240397388,8.415774311831541,28.663772285637332,0.6325082565332671,1.0
162.50544651231127,32.323591788927516,9.782638657928818,36.07180231628351,0.025615406388901363,1.0
162.52589551628682,42.88188377674707,12.053102784416588,47.77916561055303,1.3860566153983243,1.0
162.5373993030747,51.91585320695899,14.017796100537801,57.211932939219984,2.714580297125515,1.0
162.54994439270996,66.39092535909481,17.062589286265208,71.89653861009732,4.77028094315169,1.0
162.55695516983457,77.71667588204544,19.239604653065257,83.6953039606037,6.083056725300395,1.0
162.56439648770322,93.02679340127578,21.57189809572435,99.80785378052042,7.188259048266929,1.0
162.57183780557187,109.49296128334694,21.423785803019555,112.38484343596703,6.9925019253089715,1.0
162.57773985631067,108.00715213108589,8.625622204073736,104.59718750953326,15.809297303922364,1.0
162.58281431925377,77.95202231719372,77.95202231719372,80.45140239007439,80.45140239007439,1.0
162.58686929803693,141.59534882372412,141.59534882372412,136.8898154474212,136.8898154474212,1.0
162.5909242768201,179.62048771525176,179.62048771525176,170.47007518722793,170.47007518722793,1.0
162.59497925560325,156.37587276928437,156.37587276928437,196.30191973217345,196.30191973217345,1.0
162.59956309338662,225.9318919548813,41.14114875392298,208.57026289325597,61.57458999710184,1.0
162.60355072935135,278.66073151687056,11.228745377248345,277.8411259325028,9.896100930678244,1.0
